##########################																						
# BLAST-Pol "bolo table" 2012																						
#																						
# Most recent updates in each category:																						
#   - to noise fit (WhiteNoise, 1/f, alpha):  SJB 18 Dec 2013																						
#   - to pixel offsets (EL, XEL):             JAS 20 Oct 2013																						
# Chi_250	0																					
# Chi_350	0																					
# Chi_500	0																					
Name	N	C	Type	EL	XEL	Angle	pix	LR1	LR2	CRJ	BW	Resp.	S	WhiteNoise	1/f	Res.	Chi	p_eff	q_ip	u_ip	alpha	Old																						
B2G14H	17	14	250	-112.27492	-381.94115	0	G14	9	9.08	0	0	1	0	4.4709604e-06	0.091379452	2.23	12	1	0.0102	-0.0102	1.2471356	N8C14
B2G15V	17	19	250	-112.41858	-437.45372	90	G15	9	9.08	0	0	1	0	4.6207923e-06	0.08527215	2.45	12	1	0.0124	0.0019	1.2642498	N8C19
B2H01V	18	3	250	-126.12788	380.70953	90	H01	8.84	8.96	0	0	1	0	3.8269898e-06	0.077444135	2.2	12	1	-0.0074	-0.0428	1.4043445	N9C3
B2H02H	18	6	250	-128.87112	322.35412	0	H02	8.84	9	0	0	1	0	3.8632575e-06	0.053043996	2.1	12	1	0.0174	0.0307	1.7851746	N9C6
B2H03V	18	10	250	-129.30312	267.70185	90	H03	8.92	9.03	0	0	1	0	3.5230078e-06	0.054239358	1.97	12	1	0.0041	-0.0209	1.7569751	N9C10
B2H04H	18	15	250	-133.95209	210.14339	0	H04	8.84	8.88	0	0	1	0	3.5056112e-06	0.097829894	1.88	12	1	0.0126	0.002	1.0850904	N9C15
B2H05V	18	20	250	-134.36549	153.93049	90	H05	8.8	8.76	0	0	1	0	3.398005e-06	0.061050084	1.77	12	1	0.0043	-0.0131	1.5848096	N9C20
B2H06H	21	1	250	-138.98815	97.90139	0	H06	8.7	8.77	0	0	1	0	3.6708562e-06	0.076060825	nan	12	1	0.0086	-0.0124	1.3324793	N10C1
B2H07V	21	5	250	-139.16162	41.058299	90	H07	8.68	8.76	0	0	1	0	3.4207764e-06	0.060687468	1.82	12	1	-0.0034	-0.0186	1.648007	N10C5
B2H08H	21	9	250	-144.08085	-15.684526	0	H08	8.8	8.88	0	0	1	0	3.6713533e-06	0.066225244	1.71	12	1	0.006	-0.0132	1.5036316	N10C9
B2H09V	21	14	250	-144.94549	-71.81301	90	H09	8.9	8.96	0	0	1	0	3.515177e-06	0.070631196	1.79	12	1	0.0134	-0.0225	1.4698688	N10C14
B2H10H	21	18	250	-149.93413	-128.39173	0	H10	8.84	8.92	0	0	1	0	3.8697381e-06	0.063084207	1.91	12	1	0.006	-0.0113	1.5712219	N10C18
B2H11V	21	22	250	-150.52807	-184.53784	90	H11	8.87	8.92	0	0	1	0	3.8224316e-06	0.058921837	2.02	12	1	0.0063	-0.017	1.5781555	N10C22
B2H12H	17	3	B250	-153.94197	-240.24626	0	H12	8.92	9	0	0	1	0	1.57e-05	3.790244	1.88	12	1	0	0	139	N8C3
B2H13V	17	8	250	-156.99029	-297.59371	90	H13	8.96	9.02	0	0	1	0	4.1316513e-06	0.060376477	1.98	12	1	0.0119	-0.008	1.5718044	N8C8
B2H14H	17	13	250	-160.14625	-354.23884	0	H14	9.01	9.08	0	0	1	0	4.6455919e-06	0.08364525	2.11	12	1	0.0015	-0.0084	1.3142319	N8C13
B2H15V	17	17	250	-160.74474	-410.85692	90	H15	9	9.04	0	0	1	0	4.5575966e-06	0.073413209	2.32	12	1	0.0136	0.0011	1.4841481	N8C17
B2H16H	17	20	250	-163.48521	-467.5791	0	H16	9	9.08	0	0	1	0	5.2580194e-06	0.061003563	2.42	12	1	0.0128	-0.0108	1.6787561	N8C20
B2J01V	18	5	250	-176.11322	350.82787	90	J01	8.88	9	0	0	1	0	3.6350537e-06	0.090357221	2.09	12	1	-0.0067	-0.0476	1.2587202	N9C5
B2J02H	18	8	250	-177.31813	295.45472	0	J02	8.88	9.08	0	0	1	0	4.0379038e-06	0.056671884	2.03	12	1	0.0122	0.0146	1.7111314	N9C8
B2J03V	18	11	250	-179.98831	238.94722	90	J03	8.84	8.96	0	0	1	0	3.465473e-06	0.060228323	1.91	12	1	0.0126	-0.031	1.602151	N9C11
B2J04H	18	16	250	-183.77712	182.10878	0	J04	8.88	8.92	0	0	1	0	3.7257859e-06	0.069755071	1.82	12	1	0.013	0.0023	1.3661365	N9C16
B2J05V	18	22	250	-187.0141	125.03751	90	J05	8.7	8.79	0	0	1	0	3.1731668e-06	0.07334752	1.79	12	1	-0.0009	-0.0152	1.3916618	N9C22
B2J06H	21	2	250	-190.35746	67.84277	0	J06	8.74	8.8	0	0	1	0	3.5630271e-06	0.061010311	1.92	12	1	0.0064	-0.0119	1.629923	N10C2
B2J07V	21	7	250	-191.83295	10.738667	90	J07	8.76	8.82	0	0	1	0	3.4952466e-06	0.058777231	1.78	12	1	0.0005	-0.0257	1.5962131	N10C7
